config_id,auroc_neg_max_confidence_mean,auroc_neg_max_confidence_std,auroc_entropy_mean,auroc_entropy_std,auroc_neg_margin_mean,auroc_neg_margin_std,auroc_uncertainty_mean,auroc_uncertainty_std,auroc_neg_mutual_info_mean,auroc_neg_mutual_info_std,auroc_neg_ucb_score_mean,auroc_neg_ucb_score_std,auroc_combined_mean,auroc_combined_std
source,0.8365058607246683,0.013320716582606308,0.8157621636443486,0.015772531111261465,0.8293571360516223,0.016859821669001684,0.72352462012676,0.03274985512351608,0.2812335412533781,0.03322242053723816,0.5,0.0,0.8397251017736503,0.013863956019458036
tent,0.829489145757462,0.04664472360596187,0.8108786680568095,0.04350260340459855,0.8238688496112739,0.04834201714837742,0.6838880024107928,0.03625489370411788,0.32028661526091184,0.03603720568334567,0.5,0.0,0.8354955807420424,0.04487764861475197
eata,0.8351453173399346,0.03084528526398683,0.8172051500992683,0.027733593684229473,0.8292474028336563,0.03303897863274614,0.6987616656158487,0.029247911478258563,0.30516344522680927,0.029154167655241675,0.5,0.0,0.8405929889242101,0.030121672319946814
sar,0.8386701374254689,0.013280000154418567,0.821519717890675,0.009572355839286143,0.8322920023164881,0.017009453966448047,0.7104233816381381,0.025258109591589514,0.29336724294233635,0.02534264675071003,0.5,0.0,0.8436645394914554,0.013843992158348908
come,0.8405629963623462,0.025465044340138004,0.8088603211597427,0.020650333582518842,0.8361464367025723,0.02860719766993007,0.6825334964441935,0.020916926135559233,0.32355750122929394,0.020659129121715622,0.5,0.0,0.843362123658153,0.02580918850637305
tentcome,0.8299844602615888,0.04664009448983765,0.8113838174113267,0.04356309365310077,0.8243589091901681,0.048332943049631455,0.684314721059484,0.036611111994349736,0.31989982167593367,0.03636837567698957,0.5,0.0,0.8359823592182525,0.0448928414550618
ucdpa,0.84797727065589,0.008490791341151518,0.8346206675345821,0.006263203773110404,0.8419924090314498,0.011774993895131638,0.7388097178425135,0.017245139761678286,0.26470061882569623,0.01718152420128419,0.8478934140210038,0.008476128438223707,0.8521546361343896,0.008867201735583901
ucdpa_nocal,0.8480415183756154,0.00851725244632541,0.8347048659507026,0.0063172125933025165,0.8420524119937062,0.011797383850611924,0.7392759509107508,0.01718356254017729,0.2642323939659155,0.017119480635686888,0.8479577986402748,0.008502660988353446,0.8521966934202935,0.008892971346268473
ucdpa_nocb,0.8405824761877848,0.05963718986718454,0.8270831051359547,0.058336874250676775,0.8348006935727139,0.060213561413346314,0.7308960537527102,0.053370058363499874,0.2726123015182671,0.0532154828095183,0.840497431813656,0.059632306031420154,0.8448382370800014,0.05974526683081982
ucdpa_noucb,0.846776114207844,0.009729755958851642,0.8334406531332335,0.0069988284629313845,0.8408354298773872,0.01303476208579392,0.7257570575099677,0.011697781839547533,0.2782873955719904,0.01168686489781679,0.5,0.0,0.8514641716840387,0.00981391863317578
