config_id,family,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mean_mutual_info_mean,mean_mutual_info_std
source,Blur,49.625040000000006,14.775556547289924,4.333894646679573,3.1942601847889915,1.264565339422362,0.3096198504537694
tent,Blur,58.562266666666666,11.308356600718293,8.244580047820882,3.9459822802292632,0.562819767305158,0.14366164193695374
eata,Blur,57.912213333333334,11.331972117066911,7.996991398262779,3.4853143315842594,0.5830247266319278,0.1695696935898472
sar,Blur,56.19690666666667,12.046795515566533,8.169768801748877,3.4138563632095367,0.6109012462481225,0.19397345553176623
come,Blur,61.362719999999996,11.211040261495137,5.578944870807243,2.224211660448094,1.3813590656308963,0.14353421670461994
tentcome,Blur,58.77264,11.274890160236836,8.05836863432904,3.9298624681489986,0.5692911706641034,0.143326121190722
ucdpa,Blur,64.78448,9.612224591858242,4.308758240755369,1.620126587697117,0.781921347385656,0.22125513869791777
ucdpa_nocal,Blur,64.79256000000001,9.748816689219261,4.271241849104036,1.607282686319042,0.7884702456874841,0.22776280806513502
ucdpa_nocb,Blur,64.60656,9.98352286720474,4.420352433423418,1.8930398855234516,0.7721952697287758,0.2226159410718493
ucdpa_noucb,Blur,64.3852,10.056514969577345,5.687166211278047,3.1530974030328345,0.6631672088000323,0.09606736593681697
source,Digital,65.0186,11.351971890530287,6.081131050106929,5.831839439342421,1.0568134478629885,0.3343413934376007
tent,Digital,68.5338,9.436706210056307,5.728699294218157,4.238760064157467,0.45576708867960464,0.13967592871173495
eata,Digital,68.37246666666667,9.050053756683992,5.544432323717722,3.576300218219911,0.46076570051010507,0.148571850328059
sar,Digital,67.72123333333333,9.464474421764054,5.5764267874082085,3.7674958180302114,0.47157071886148555,0.15142612112505097
come,Digital,71.32369999999999,8.348984526296533,8.686569913678586,3.0687291659462073,1.337778010440997,0.19261545048508158
tentcome,Digital,68.7174,9.328465532616839,5.550905185114933,4.071266454676421,0.46279364555173746,0.14003190795619558
ucdpa,Digital,73.57083333333334,6.336801270722695,2.781483235444843,1.132183854007311,0.6114302074950283,0.1575623865397655
