config_id,severity,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mce_15bins_percent_mean,mce_15bins_percent_std,mean_mutual_info_mean,mean_mutual_info_std,hce_rate@0.9_mean,hce_rate@0.9_std,auroc_combined_mean,auroc_combined_std
source,1,71.05431578947369,4.9649409691422965,3.386740892853,1.956952803975499,5.599340743099352,2.026147486911719,0.8740677139244263,0.09254508013759981,0.007647368421052632,0.00227704894099781,0.8500939009535525,0.003843673220054705
tent,1,73.4418596491228,3.6887492626643805,4.647273769271151,1.480788741135498,9.49743623894476,2.336518626011159,0.3507372326828706,0.06854139652556342,0.02823964912280702,0.0038377885954359375,0.8507570962450122,0.0026705362074822513
eata,1,73.21214035087719,3.784332152057047,4.658131189546531,1.490854575388502,9.783052775253896,2.019179892156443,0.35294111503402026,0.0672206543994706,0.02817964912280702,0.0037513949619309623,0.8511847389566762,0.002573030277880247
sar,1,72.71028070175439,3.9783256427546885,4.703670861723326,1.5045613902945134,9.466315314634377,2.407401654892266,0.35882496902174016,0.06609002796857541,0.02790842105263158,0.003690390895610656,0.8517648639874468,0.0023662706659987637
come,1,76.13687719298245,3.1152914107567606,9.047758848536178,1.62351650439722,13.23327728250297,1.6832729111173548,1.2272135167265974,0.07596738229922714,0.0020066666666666666,0.0005178986847048828,0.8526297998648685,0.0031478408889711617
tentcome,1,73.604,3.622264465378368,4.501121202762876,1.4177690693410394,9.435761736522553,2.082806985125419,0.35706355600563927,0.07023308839971995,0.027778947368421052,0.0039127400356356624,0.8509384829563623,0.002610055394159543
ucdpa,1,77.43280701754387,2.4965541068683677,2.3092053764408145,0.4108878827668892,6.716812492013127,2.7898048876163175,0.5012235708575721,0.05008814162260146,0.0185859649122807,0.0012583831174071904,0.8596697126688893,0.002183827811679905
ucdpa_nocal,1,77.44073684210527,2.5486122769090804,2.2956309299561153,0.4112712676901774,6.3596884236884845,2.576614303170761,0.5039072065416242,0.05183952678943748,0.01848736842105263,0.0013284278180752832,0.8596822409957481,0.0023139435109502016
ucdpa_nocb,1,77.44157894736841,2.5212703657699933,2.2877877246241916,0.4139580047015277,6.523099148070986,1.1705227064279629,0.4952453580295619,0.04962863571513528,0.018776842105263158,0.0012668993322788734,0.859715728037265,0.002268694644764336
ucdpa_noucb,1,77.46515789473683,2.6342057049339287,2.419997964649363,0.3822750606284615,6.970831295665101,3.7180198733595047,0.5329024705200868,0.034982602001608895,0.017247368421052633,0.0008254617704672484,0.8599085289500913,0.0022686314126628675
source,2,64.29863157894737,9.640769746668091,4.003949615565521,2.682070663960748,6.740441032667953,3.2447910715835553,0.9756823168325152,0.1281669970971877,0.006788421052631579,0.0024434049642965187,0.8462945359872746,0.006608637549037611
