config_id,correct_ucb_score_mean,correct_ucb_score_std,wrong_ucb_score_mean,wrong_ucb_score_std,ucb_separation_mean,ucb_separation_std,correct_mutual_info_mean,correct_mutual_info_std,wrong_mutual_info_mean,wrong_mutual_info_std,mutual_info_separation_mean,mutual_info_separation_std,correct_uncertainty_mean,correct_uncertainty_std,wrong_uncertainty_mean,wrong_uncertainty_std,uncertainty_separation_mean,uncertainty_separation_std
source,0.0,0.0,0.0,0.0,0.0,0.0,0.9233921516396717,0.23334072556686253,1.3006508431201451,0.3036398425326182,-0.37725869148047336,0.10978449772805576,0.10967597827596277,0.03185604623706502,0.1636153384430976,0.04408104503967043,0.0539393601671348,0.017076855549287333
tent,0.0,0.0,0.0,0.0,0.0,0.0,0.38840308580077076,0.12190555831777174,0.6226856808923819,0.15868166720723295,-0.23428259509161106,0.05396048233073715,0.0428138184871925,0.014178164880221378,0.07320308000763145,0.02025522876155693,0.030389261520438898,0.007790648009764589
eata,0.0,0.0,0.0,0.0,0.0,0.0,0.38819355090287466,0.12793426713550377,0.652757635953265,0.17975929018880707,-0.26456408505039014,0.06707322199871125,0.042953466505319504,0.01502166949473883,0.07735088746158655,0.023357243088625475,0.034397420956267015,0.009894003907266411
sar,0.0,0.0,0.0,0.0,0.0,0.0,0.39381943032379285,0.1315991566561984,0.6845207012917279,0.19540559577441421,-0.290701270967935,0.07919037410779814,0.04377755995095028,0.01566045409169273,0.0816807491103829,0.02574004802175957,0.03790318915943257,0.011672934600954029
come,0.0,0.0,0.0,0.0,0.0,0.0,1.2424354131257394,0.13200265771830272,1.5839565067808243,0.17125491363800235,-0.341521093655085,0.056100024722929485,0.15018686967171258,0.01835480410806546,0.20019192719125642,0.02529625386251286,0.05000505751954377,0.009026214625566529
tentcome,0.0,0.0,0.0,0.0,0.0,0.0,0.3952570012798245,0.12190968944897455,0.6305037971423422,0.15943137644163946,-0.23524679586251768,0.05461266680642112,0.04357388480879836,0.01419319942951178,0.0741320915503093,0.020370316886981057,0.030558206741510885,0.007884388078700417
ucdpa,0.7040247441074473,0.06737675921236062,0.26915436477804194,0.05911853104634551,0.4348703793294054,0.013810569556232494,0.6014168717422114,0.16690612609261596,0.8831874425838268,0.23871250438663666,-0.2817705708416154,0.07600562702562776,0.06715413372362157,0.021000268371333064,0.10488377279400861,0.032267834326104576,0.03772963907038699,0.011759022173296715
ucdpa_nocal,0.7030461887031076,0.06831319902148168,0.2682905375651309,0.05973608772059654,0.4347556511379768,0.014152369969627286,0.6064868879016851,0.17068973315067254,0.8893883778171733,0.2430268964282742,-0.2829014899154881,0.07661300629538081,0.06778056753151838,0.021499890682938495,0.1056959157134647,0.032875439799778736,0.037915348181946265,0.011876122573735248
ucdpa_nocb,0.7036818785718386,0.07111489414382952,0.2769560306058192,0.06933851303419288,0.42672584796601937,0.06883976569080635,0.5945099392056078,0.16834970306134545,0.8611786782452543,0.22771987299090002,-0.2666687390396465,0.10337294065929993,0.06633171744367833,0.021186364067186193,0.10201914934724476,0.03060293523800605,0.0356874319035664,0.014298254603814592
ucdpa_noucb,0.5,0.0,0.5,0.0,0.0,0.0,0.5441313278368531,0.06485115921226034,0.7934219828554936,0.10620365496546223,-0.2492906550186403,0.047016220234331565,0.05985409586750795,0.008184395087308076,0.09284496575070136,0.014573753346485434,0.032990869883193365,0.0070181998729810955
