config_id,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mce_15bins_percent_mean,mce_15bins_percent_std,mean_mutual_info_mean,mean_mutual_info_std,mean_ucb_score_mean,mean_ucb_score_std,hce_rate@0.9_mean,hce_rate@0.9_std,aurc_mean,aurc_std,e_aurc_mean,e_aurc_std,auroc_combined_mean,auroc_combined_std,mean_predictive_entropy_mean,mean_predictive_entropy_std
source,57.26395789473685,15.204165055683736,4.8193533349599,4.045836024009634,8.520427849636667,6.251800988925307,1.0990232217142206,0.30447951345302304,0.0,0.0,0.006448842105263158,0.003736531549546466,0.21171713797814481,0.12902916446293333,0.08163785549581155,0.025435880325666932,0.8397251017736503,0.013863956019458036,2.456493859715503,0.6834919467083898
tent,63.033585964912284,12.482440082188905,7.928189009389441,6.9601535447113765,14.27968113555533,11.070886053347806,0.47707168186127574,0.15140276531357194,0.0,0.0,0.03279663157894737,0.03875160238242204,0.1728082951769279,0.12841909034101512,0.0802877914130948,0.050613549278668075,0.8354955807420424,0.04487764861475197,1.4630851832948655,0.40580836292021755
eata,62.84296140350877,12.093423485249142,7.4146294999142635,5.497507304699926,13.787802854306356,9.155259980511548,0.4919211275172288,0.16820985166577798,0.0,0.0,0.029028491228070177,0.024274053661601225,0.16824235092649678,0.11091547738405605,0.075902830389926,0.039189388534100006,0.8405929889242101,0.030121672319946814,1.5081349564756943,0.44816075043434217
sar,61.90468070175438,12.369849737770204,7.204879422041212,4.326992926990704,13.236820421508607,6.726702098765581,0.5126890789937391,0.1840075854273331,0.0,0.0,0.025908,0.0075253927322531085,0.1713708895206867,0.09948974147050466,0.07398321297815018,0.025719451385676582,0.8436645394914554,0.013843992158348908,1.576220152550698,0.5013395725969525
come,66.12572631578946,11.468972149424282,7.219808958194874,3.298113225762805,12.211364405747698,6.459097369544683,1.3608157215891674,0.1712755858825009,0.0,0.0,0.002041754385964912,0.0027311311196979277,0.14523866408439826,0.09305374933569105,0.06929258799740722,0.032906792651228374,0.843362123658153,0.02580918850637305,2.465576051740603,0.40511586028586305
tentcome,63.22284912280701,12.438810947899258,7.739584135082835,6.901194546730767,14.05814057535896,10.974320728960391,0.4838600201707811,0.1519322230411913,0.0,0.0,0.032115298245614037,0.038741031333736874,0.1711495645356479,0.1272371820375805,0.07963762180899935,0.05005622354630231,0.8359823592182525,0.0448928414550618,1.467296038931764,0.40647886377414993
ucdpa,69.1973754385965,9.151689342401061,3.484528273049793,1.4547018790051263,7.532535266315466,2.3979816340735765,0.694349043459644,0.21800671470844182,0.5709086900435328,0.1028315474643125,0.014548140350877191,0.004503726592464167,0.11821143191893711,0.05747956891703767,0.05868546701056094,0.0180217480460672,0.8521546361343896,0.008867201735583901,1.5607799481211564,0.4611361909938103
ucdpa_nocal,69.208,9.188962847501672,3.4569388330518467,1.4281449722944326,7.419064508630996,2.3531220128231554,0.6997649224983358,0.22219251070343876,0.5700379417254698,0.10378159532340647,0.014350315789473685,0.004602635566122444,0.118130014893745,0.05768333949183579,0.058637509810964814,0.018080683961099155,0.8521966934202935,0.008892971346268473,1.5672547845110458,0.46685272266097266
ucdpa_nocb,68.72433684210526,10.685106065454434,4.146281068639487,5.97486051250876,8.995599781946527,10.382650460423614,0.6791523832020877,0.2088544931841979,0.574924590784637,0.10073671231622458,0.020696842105263156,0.05115516723267029,0.12834221917300792,0.10512279420319869,0.06397271310233597,0.04244921697442454,0.8448382370800014,0.05974526683081982,1.5383176903321973,0.4470822869260934
ucdpa_noucb,68.9274105263158,9.545397709684927,4.361039851334073,2.730595933183633,9.229597566730725,4.561162422664668,0.6252747423053847,0.09916932207030876,0.5,0.0,0.016855157894736843,0.0014094897697302532,0.12104433566275255,0.061211871284875305,0.05997108842876932,0.01932354809972201,0.8514641716840387,0.00981391863317578,1.4860622445223508,0.3224422848559841
