backbone,base_method,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mce_15bins_percent_mean,mce_15bins_percent_std,mean_mutual_info_mean,mean_mutual_info_std,mean_ucb_score_mean,mean_ucb_score_std,auroc_combined_mean,auroc_combined_std
cifar_resnet18,source,62.65842105263158,9.148657013256035,8.3615081329281,2.391014087850751,19.15097605297952,4.522144394867938,0.6209397535203799,0.14440397540706462,0.0,0.0,0.8464074188037402,0.025898622524044655
cifar_resnet18,tent,62.94315789473685,9.029692410555288,8.473797327943734,2.4121427706913336,19.341335843706258,4.1568527463347555,0.605068790407494,0.14114246265645897,0.0,0.0,0.846855890180236,0.025147333054112774
cifar_resnet18,eata,62.962105263157895,9.022866986438999,8.381807977846384,2.38126582380869,19.54737232036799,4.543977837034055,0.6096674749345941,0.14158854987274047,0.0,0.0,0.8467811161094179,0.02537153238432004
cifar_resnet18,sar,62.89000000000001,9.095924606352256,8.391509068722005,2.356148881008409,19.364850651210144,4.436897202959936,0.6130708171063702,0.14273308785135091,0.0,0.0,0.8467692208091071,0.02521780325078755
cifar_resnet18,come,62.840526315789475,9.185918253067943,8.366698911084157,2.360251249086365,19.27596912393935,4.261739791453012,0.6201511263291325,0.1436779330300553,0.0,0.0,0.8462307065023428,0.025088573926802058
cifar_resnet18,tentcome,62.93631578947368,9.144493309896227,8.451923951129183,2.3818015524413223,19.384822586778476,4.093575860509059,0.6061130997648704,0.1465484758280742,0.0,0.0,0.8466182976375263,0.025384095827580767
cifar_resnet18,ucdpa,63.00842105263158,9.11710191718953,8.364515060046198,2.3620011542190222,19.260273699256214,4.484422731252686,0.6135291876986287,0.1442231297893346,0.4251179786058363,0.12836784580225566,0.8465889153982784,0.025127129184178112
resnet50,source,11.229368421052632,3.59267403058759,8.556024408070027,0.9183914350603383,37.35101666897777,6.465044872067363,1.1609078911625248,0.17026445642715443,0.0,0.0,0.7399422500758124,0.011240257325364392
resnet50,eata,12.335285714285714,3.014786187815275,11.740439822380695,1.0907411558109341,41.73302381146043,4.002684959170101,0.9669535602054392,0.15641052113601092,0.0,0.0,0.7432335077295055,0.0068007875588246254
resnet50,come,11.451473684210526,3.7706317090615094,12.355383785995754,1.732048104789332,48.60579595817915,12.697676980830972,1.1200184955361727,0.12895932872440252,0.0,0.0,0.7249098124137244,0.020342240315691946
resnet50,tentcome,10.29642105263158,3.3572197875257412,19.10065904891295,2.6743956400499864,58.449533645682266,11.846174043434502,0.6623109257667353,0.08165434797149383,0.0,0.0,0.7112820429232002,0.024257279890699496
resnet50,ucdpa,9.916526315789474,4.08511796876338,17.782452044301618,3.3953079085503166,64.15062481346365,16.173950453374324,1.0664128974109885,0.12167566375200427,0.10324572250884831,0.019687204345294657,0.6826325249458519,0.04314902427531656
vit_base_patch16_224,source,59.407999999999994,12.33309868245248,4.497828074742403,3.7858999976660086,8.288969649119927,5.198582895752299,1.0616998833610343,0.21775430894574913,0.0,0.0,0.8410298339497271,0.010502812142841007
vit_base_patch16_224,tent,65.1397894736842,9.237252210352429,6.76129182286933,4.01577162022429,12.488060710791245,5.526702078510307,0.4625437485413445,0.11709925722166913,0.0,0.0,0.8439919389655279,0.011803833928421192
vit_base_patch16_224,eata,64.7322105263158,9.240860515359351,6.673415168426834,3.544787202596046,12.599388182735586,5.1930997519091,0.4680237453726833,0.12163722248557159,0.0,0.0,0.8459656653077842,0.00756346641473858
