method,method_display,config_id,seed,corruption,severity,batch_size,max_batches,trainable_parameters,runtime_seconds,peak_gpu_memory_mb,optimizer_steps,lr,optimizer,num_samples,num_correct,num_wrong,error_rate,top1_accuracy,accuracy,ece_15bins_percent,mce_15bins_percent,mean_confidence,mean_predictive_entropy,mean_entropy,mean_uncertainty,mean_mutual_info,mean_ucb_score,mean_come_loss,correct_confidence,wrong_confidence,confidence_separation,correct_uncertainty,wrong_uncertainty,uncertainty_separation,correct_mutual_info,wrong_mutual_info,mutual_info_separation,correct_ucb_score,wrong_ucb_score,ucb_separation,hce_rate@0.8,hce_risk@0.8,hce_rate@0.9,hce_risk@0.9,hce_rate@0.95,hce_risk@0.95,aurc,e_aurc,selective_risk@0.80,selective_risk@0.90,selective_risk@0.95,aurc_uncertainty,aurc_ucb_score,auroc_neg_max_confidence,auroc_entropy,auroc_neg_margin,auroc_uncertainty,auroc_neg_mutual_info,auroc_neg_ucb_score,auroc_combined,auroc_error_combined,cfg_lr,cfg_optimizer,cfg_weight_decay,cfg_come_p_norm,cfg_come_tau,cfg_come_evidence_mode,cfg_lambda_come,cfg_eps,cfg_tau_c,cfg_tau_u,cfg_T_c,cfg_T_u,cfg_lambda_cal,cfg_lambda_fpa,cfg_class_balance_ema,cfg_prototype_momentum,cfg_prototype_temperature,cfg_eata_eps_scale,cfg_eata_fisher_lambda,cfg_eata_alpha_f,cfg_eata_alpha_w,cfg_sar_eps_scale,cfg_sar_rho,cfg_disable_ucb,cfg_disable_class_balance,cfg_disable_scale_norm,cfg_class_balance_count_floor,cfg_class_balance_w_clip_min,cfg_class_balance_w_clip_max
come,COME,come,0,defocus_blur,5,128,-1,38400,284.99,10073.0,391,0.0001,adam,50000,24453,25547,0.51094,48.906,48.906,2.746599016496445,8.240963722095685,0.4657538875495502,3.226343703712225,3.226343703712225,0.208882614054624,1.6406852343279124,0.0,2.1343458128236232,0.6223952812080018,0.3158203533134319,0.3065749278945699,0.1741511571279592,0.2421267646878777,0.0679756075599185,1.410360287096302,1.8611469689603373,-0.4507866818640353,0.0,0.0,0.0,0.01056,0.0728376327769347,0.0009,0.0502232142857142,0.0,0.0,0.2586022724087111,0.0974722663643031,0.41825,0.4658444444444444,0.4884842105263158,0.3371593239219309,0.5347065309703858,0.8333152526775014,0.8170545465180947,0.8216929166654441,0.7299378215450347,0.2768194782068076,0.5,0.8355237083411986,0.8355237083411986,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.1,0.05,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,elastic_transform,1,128,-1,38400,265.68,10072.9,391,0.0001,adam,50000,38838,11162,0.22324,77.676,77.676,9.13932006554911,13.06496519471524,0.685366799344509,2.0062684543532296,2.0062684543532296,0.1422994360580347,1.1854834071217548,0.0,1.255226920636611,0.7493252967390727,0.4628242333339313,0.2865010634051413,0.1325712864130668,0.176148376741717,0.0435770903286501,1.117131957189608,1.4233111810390373,-0.3061792238494292,0.0,0.0,0.0,0.01556,0.0369017691979319,0.0022,0.0215940321947389,0.00028,0.0262172284644194,0.0715668413955597,0.0445549482766968,0.12445,0.1677333333333333,0.1934526315789473,0.1424854738159671,0.2106357074502767,0.8521367336886414,0.8119695673008107,0.8521881408362122,0.6726952011202258,0.3322152258552631,0.5,0.8545529630479642,0.8545529630479642,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,elastic_transform,2,128,-1,38400,271.13,10072.9,391,0.0001,adam,50000,31359,18641,0.37282,62.718,62.718,4.1689536674804994,9.269588787502602,0.5911524352546409,2.4851116328058915,2.4851116328058915,0.1615650780033635,1.3145598948605102,0.0,1.6450541167989536,0.7060488511222943,0.3978668440742457,0.3081820070480486,0.1409020348763134,0.1963256793348995,0.0554236444585861,1.1729499635013378,1.5527845522014407,-0.3798345887001029,0.0,0.0,0.0,0.01652,0.0572339246119733,0.00226,0.0352464129756706,0.00028,0.0417910447761194,0.1501584260001797,0.0699315046831927,0.265475,0.3176222222222222,0.3449473684210526,0.2362216948108768,0.3389496944880551,0.8491004125424478,0.8272078579421978,0.839996077480899,0.7070452352639784,0.3002444488804638,0.5,0.8523933016034152,0.8523933016034152,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,elastic_transform,3,128,-1,38400,271.18,10072.9,391,0.0001,adam,50000,37349,12651,0.25302,74.698,74.698,8.286388469557275,12.679917727748457,0.6641161153044273,2.110264893606235,2.110264893606235,0.1455879990501474,1.207105146371302,0.0,1.3466232242872356,0.7373953377406339,0.4477770370679332,0.2896183006727007,0.1346104259706076,0.177996613147668,0.0433861871770603,1.1306283951605949,1.4328841504791754,-0.3022557553185807,0.0,0.0,0.0,0.01656,0.0428549246933388,0.00238,0.0266398029997761,0.00046,0.0450980392156862,0.0869634702963989,0.0518501363322238,0.1513,0.1977111111111111,0.2236,0.1655778203393288,0.2383680605393279,0.8482594384708885,0.8105510266630526,0.8475592470205626,0.6732863501445843,0.332370997071275,0.5,0.8510970496033606,0.8510970496033606,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,elastic_transform,4,128,-1,38400,272.02,10072.9,391,0.0001,adam,50000,34475,15525,0.3105,68.95,68.95,6.2523333932324325,10.66071315080016,0.627175125310584,2.287651751761409,2.287651751761409,0.1510331356720151,1.2430072757814032,0.0,1.5033599288863548,0.7181248595395366,0.4252110617007196,0.292913797838817,0.1373008699535035,0.1815271685638469,0.0442262986103434,1.1483436261080515,1.4532185042830974,-0.3048748781750459,0.0,0.0,0.0,0.0161,0.0484910547557376,0.00266,0.0369855394883203,0.00044,0.0533980582524271,0.1172780372106387,0.0631262643264229,0.205725,0.2555777777777778,0.2821894736842105,0.2064806431234014,0.2936031762224654,0.8441373480047504,0.8125089846664774,0.840814435067536,0.6775713774246549,0.3291499719159838,0.5,0.8473134365377137,0.8473134365377137,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,elastic_transform,5,128,-1,38400,270.62,10072.9,391,0.0001,adam,50000,22529,27471,0.54942,45.058,45.058,5.10491033126833,8.701465570009681,0.4990847328431485,2.947021658980306,2.947021658980306,0.1799250748779003,1.4380734051704689,0.0,2.022083173904168,0.6427578738618124,0.3812582178269686,0.2614996560348437,0.1561132891320406,0.1994531488857075,0.0433398597536668,1.2786916950888092,1.5687825364882113,-0.2900908413994021,0.0,0.0,0.0,0.024,0.1480384900074019,0.00404,0.143160878809355,0.00042,0.1346153846153846,0.3217706683304264,0.1315618924749348,0.468725,0.5105555555555555,0.5302315789473684,0.43296918270936,0.5318962621928875,0.8014258646444908,0.7807777662351472,0.7902961304244593,0.6604526267632782,0.3474363675485908,0.5,0.8053561626843533,0.8053561626843533,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,fog,1,128,-1,38400,277.09,10072.9,391,0.0001,adam,50000,39637,10363,0.20726,79.274,79.274,12.748293171744791,17.556663119477523,0.665257068282552,2.235821659479737,2.235821659479737,0.1730696499069966,1.4162629532259703,0.0,1.2912022921857238,0.721998869829444,0.448227753613619,0.2737711162158249,0.1642923956066056,0.2066413983104125,0.0423490027038069,1.356002393251598,1.6467510180435136,-0.2907486247919157,0.0,0.0,0.0,0.00988,0.0305183171680978,0.0007,0.0235690235690235,4e-05,0.0377358490566037,0.0654369954561743,0.0422987719700544,0.110825,0.1538666666666666,0.178378947368421,0.136045509201945,0.1957238360295771,0.8521465915554594,0.803760919644237,0.8546822632021707,0.6573677862586763,0.347584850953358,0.5,0.8541722064724735,0.8541722064724735,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,fog,2,128,-1,38400,267.87,10072.9,391,0.0001,adam,50000,39018,10982,0.21964,78.036,78.036,12.640345712751149,17.31470116481053,0.6539565428724885,2.29603552495122,2.29603552495122,0.1762857544350065,1.4377399103227255,0.0,1.3354033142399788,0.714575493348785,0.4385831855892853,0.2759923077594997,0.1667268125647441,0.2102477644417354,0.0435209518769912,1.3725459627023089,1.6693677967052991,-0.2968218340029904,0.0,0.0,0.0,0.00996,0.0327760958273002,0.00076,0.0275162925416364,2e-05,0.0204081632653061,0.0714828227212233,0.0453720459992555,0.121775,0.1652,0.1902315789473684,0.1462615868419158,0.2104320244365485,0.850044609318298,0.8032493518090951,0.8511222444634423,0.6563372683835438,0.3489753954950061,0.5,0.852289670479662,0.852289670479662,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,fog,3,128,-1,38400,270.91,10072.9,391,0.0001,adam,50000,37633,12367,0.24734,75.266,75.266,11.91501991757937,16.947150203955953,0.6335098008242063,2.4010958268481493,2.4010958268481493,0.1812571574276872,1.4703120965233445,0.0,1.4167665614429117,0.703314346150231,0.4210933332690769,0.2822210128811541,0.1697494005224109,0.2162754654746074,0.0465260649521965,1.3925749784578465,1.7068675233980015,-0.3142925449401552,0.0,0.0,0.0,0.00992,0.0358200332201921,0.0005,0.0205592105263157,2e-05,0.0263157894736842,0.0837550167909089,0.0502770939425525,0.145975,0.1916444444444444,0.2178947368421052,0.1660712649855404,0.2424340643988004,0.8492862169498667,0.8053793572658337,0.8492575893376973,0.6596585909669992,0.3462030025995874,0.5,0.8519224819396961,0.8519224819396961,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
come,COME,come,0,fog,4,128,-1,38400,272.52,10072.9,391,0.0001,adam,50000,36342,13658,0.27316,72.684,72.684,11.491484325595197,16.60975094811642,0.611925156744048,2.5164584777113794,2.5164584777113794,0.1880311112393997,1.5157692067983746,0.0,1.4960919960317016,0.6897416078555202,0.4048666220908688,0.2848749857646513,0.1744068481914402,0.2242833419971202,0.0498764938056799,1.4245792809201585,1.7584126601785286,-0.3338333792583703,0.0,0.0,0.0,0.0097,0.0392998946600761,0.00058,0.0278044103547459,0.0,0.0,0.0973010425442195,0.0560385509812385,0.169375,0.2181777777777777,0.2437052631578947,0.1853091119337246,0.2725320958083094,0.8461250446541684,0.8047652596778756,0.844063454301656,0.6618882707315114,0.3444463515317166,0.5,0.8490303105915452,0.8490303105915452,0.0001,adam,0.0,2.0,1.0,exp_relu,0.03,1e-12,0.7,0.3,0.1,0.1,0.02,0.0,0.99,0.9,0.1,0.4,1.0,0.9,0.9,0.25,0.05,,,,,,
