metric,ucdpa_id,baseline_id,n_paired,ucdpa_mean,baseline_mean,mean_delta,ci_low_2.5,ci_high_97.5,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,resamples,seed
mean_predictive_entropy,ucdpa,tent,285,1.5607799481211564,1.4630851832948655,0.09769476482629089,0.08248602102915195,0.11519998441166165,11.614240015254977,8.927679536301087e-26,1759.0,9.071331340772005e-41,10000,0
mean_predictive_entropy,ucdpa,eata,285,1.5607799481211564,1.5081349564756943,0.05264499164546208,0.04170860037140518,0.06471480325298373,8.953360126946361,4.630123908617983e-17,6441.0,1.4094096360151832e-23,10000,0
mean_predictive_entropy,ucdpa,sar,285,1.5607799481211564,1.576220152550698,-0.015440204429541707,-0.023998562861663613,-0.006797607053659311,-3.4734270822639353,0.0005939779353520302,16269.0,0.0031747086751449357,10000,0
mean_predictive_entropy,ucdpa,source,285,1.5607799481211564,2.456493859715503,-0.8957139115943464,-0.9290314246007781,-0.8631648876416517,-52.292582673536245,8.644981631112904e-148,0.0,1.7301812373332855e-48,10000,0
mean_mutual_info,ucdpa,come,285,0.694349043459644,1.3608157215891676,-0.6664666781295234,-0.6787828748641783,-0.6539347328106928,-105.85814928652127,3.0643289799940143e-230,0.0,1.7301812373332855e-48,10000,0
mean_mutual_info,ucdpa,tentcome,285,0.694349043459644,0.4838600201707811,0.21048902328886293,0.19646392995196527,0.22557547341318063,28.29939288891903,1.2264728515605553e-84,39.0,2.61049418683497e-48,10000,0
mean_mutual_info,ucdpa,tent,285,0.694349043459644,0.47707168186127574,0.21727736159836825,0.20294328834212258,0.23224847837572155,29.000891261027178,6.954639830402212e-87,21.0,2.159333517640217e-48,10000,0
mean_mutual_info,ucdpa,eata,285,0.694349043459644,0.4919211275172288,0.20242791594241527,0.19042126094508566,0.21501428316431137,32.125212101527445,1.4546740140320467e-96,28.0,2.3247375020216278e-48,10000,0
mean_mutual_info,ucdpa,sar,285,0.694349043459644,0.5126890789937392,0.18165996446590488,0.1717392864498813,0.1916838202376804,35.93306975480728,1.1690653932467404e-107,21.0,2.159333517640217e-48,10000,0
mean_mutual_info,ucdpa,source,285,0.694349043459644,1.0990232217142208,-0.4046741782545768,-0.4241783370086866,-0.3855835680828442,-40.64957815178281,2.124993574459735e-120,0.0,1.7301812373332855e-48,10000,0
auroc_combined,ucdpa,come,285,0.8521546361343896,0.843362123658153,0.008792512476236582,0.006523504863792849,0.011745900083788717,6.594696501841425,2.0747795293465285e-10,371.0,8.387816030637948e-47,10000,0
auroc_combined,ucdpa,tentcome,285,0.8521546361343896,0.8359823592182525,0.016172276916137058,0.011819974819993946,0.021339861753670513,6.55750135405134,2.577460451273508e-10,0.0,1.7301812373332855e-48,10000,0
auroc_combined,ucdpa,tent,285,0.8521546361343896,0.8354955807420424,0.01665905539234721,0.012372321411296489,0.021884210204234436,6.768930920784218,7.425562382690958e-11,0.0,1.7301812373332855e-48,10000,0
auroc_combined,ucdpa,eata,285,0.8521546361343896,0.8405929889242101,0.011561647210179453,0.008802758775735062,0.015155960787796664,7.262309800191859,3.6710654567173026e-12,0.0,1.7301812373332855e-48,10000,0
auroc_combined,ucdpa,sar,285,0.8521546361343896,0.8436645394914554,0.008490096642934201,0.007595568063082688,0.009536829687803531,17.084268642304902,1.6822571053153445e-45,0.0,1.7301812373332855e-48,10000,0
auroc_combined,ucdpa,source,285,0.8521546361343896,0.8397251017736503,0.012429534360739259,0.011476897510585511,0.013463837064942627,24.437499620998974,8.509173938292948e-72,15.0,2.026917195290596e-48,10000,0
